experiment,station,dist_km,Feature_Set,Model,fold,CV_AUC
main,phangnga,73,F2,Climatological,4,0.615
main,phangnga,73,F2,LR,0,0.8105
main,phangnga,73,F2,LR,1,0.77
main,phangnga,73,F2,LR,2,0.7769
main,phangnga,73,F2,LR,3,0.8389
main,phangnga,73,F2,LR,4,0.7917
main,phangnga,73,F2,SVM,0,0.694
main,phangnga,73,F2,SVM,1,0.7103
main,phangnga,73,F2,SVM,2,0.7779
main,phangnga,73,F2,SVM,3,0.8213
main,phangnga,73,F2,SVM,4,0.7534
main,phangnga,73,F2,RF,0,0.7684
main,phangnga,73,F2,RF,1,0.7308
main,phangnga,73,F2,RF,2,0.7638
main,phangnga,73,F2,RF,3,0.7941
main,phangnga,73,F2,RF,4,0.7593
main,phangnga,73,F2,XGB,0,0.7608
main,phangnga,73,F2,XGB,1,0.7122
main,phangnga,73,F2,XGB,2,0.7478
main,phangnga,73,F2,XGB,3,0.7643
main,phangnga,73,F2,XGB,4,0.7178
main,phangnga,73,F2,MLP,0,0.7449
main,phangnga,73,F2,MLP,1,0.5501
main,phangnga,73,F2,MLP,2,0.7832
main,phangnga,73,F2,MLP,3,0.8385
main,phangnga,73,F2,MLP,4,0.7745
main,phangnga,73,F3,Climatological,0,0.489
main,phangnga,73,F3,Climatological,1,0.6883
main,phangnga,73,F3,Climatological,2,0.5604
main,phangnga,73,F3,Climatological,3,0.5424
main,phangnga,73,F3,Climatological,4,0.615
main,phangnga,73,F3,LR,0,0.7854
main,phangnga,73,F3,LR,1,0.7639
main,phangnga,73,F3,LR,2,0.7628
main,phangnga,73,F3,LR,3,0.8303
main,phangnga,73,F3,LR,4,0.7831
main,phangnga,73,F3,SVM,0,0.7088
main,phangnga,73,F3,SVM,1,0.6589
main,phangnga,73,F3,SVM,2,0.7476
main,phangnga,73,F3,SVM,3,0.7471
main,phangnga,73,F3,SVM,4,0.7296
main,phangnga,73,F3,RF,0,0.7662
main,phangnga,73,F3,RF,1,0.7297
main,phangnga,73,F3,RF,2,0.7614
main,phangnga,73,F3,RF,3,0.7982
main,phangnga,73,F3,RF,4,0.7489
main,phangnga,73,F3,XGB,0,0.7416
main,phangnga,73,F3,XGB,1,0.7012
main,phangnga,73,F3,XGB,2,0.7424
main,phangnga,73,F3,XGB,3,0.7742
main,phangnga,73,F3,XGB,4,0.7409
main,phangnga,73,F3,MLP,0,0.7028
main,phangnga,73,F3,MLP,1,0.7413
main,phangnga,73,F3,MLP,2,0.7441
main,phangnga,73,F3,MLP,3,0.7586
main,phangnga,73,F3,MLP,4,0.7672
main,phangnga,73,F4,Climatological,0,0.489
main,phangnga,73,F4,Climatological,1,0.6883
main,phangnga,73,F4,Climatological,2,0.5604
main,phangnga,73,F4,Climatological,3,0.5424
main,phangnga,73,F4,Climatological,4,0.615
main,phangnga,73,F4,LR,0,0.805
main,phangnga,73,F4,LR,1,0.7639
main,phangnga,73,F4,LR,2,0.7734
main,phangnga,73,F4,LR,3,0.8328
main,phangnga,73,F4,LR,4,0.7858
main,phangnga,73,F4,SVM,0,0.6944
main,phangnga,73,F4,SVM,1,0.6709
main,phangnga,73,F4,SVM,2,0.7734
main,phangnga,73,F4,SVM,3,0.734
main,phangnga,73,F4,SVM,4,0.7273
main,phangnga,73,F4,RF,0,0.762
main,phangnga,73,F4,RF,1,0.7246
main,phangnga,73,F4,RF,2,0.7747
main,phangnga,73,F4,RF,3,0.801
main,phangnga,73,F4,RF,4,0.7459
main,phangnga,73,F4,XGB,0,0.7485
main,phangnga,73,F4,XGB,1,0.7187
main,phangnga,73,F4,XGB,2,0.7734
main,phangnga,73,F4,XGB,3,0.775
main,phangnga,73,F4,XGB,4,0.7309
main,phangnga,73,F4,MLP,0,0.4878
main,phangnga,73,F4,MLP,1,0.7384
main,phangnga,73,F4,MLP,2,0.7254
main,phangnga,73,F4,MLP,3,0.7492
main,phangnga,73,F4,MLP,4,0.6901
